ds;uf;estado;regiao;additive_terms;additive_terms_lower;additive_terms_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;residuo;trend;trend_lower;trend_upper;yearly;yearly_lower;yearly_upper;yhat;yhat_lower;yhat_upper;populacao;y;y_100mil_hab;yhat_100mil_hab;yhat_lower_100mil_hab;yhat_upper_100mil_hab
2001-04-01;MS;Mato Grosso do Sul;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2154003;70,0;3,249763347590509;0,0;0,0;0,0
2001-04-01;MT;Mato Grosso;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2598316;118,0;4,541402970231488;0,0;0,0;0,0
2001-04-01;PA;Para;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6479372;246,0;3,796664244621238;0,0;0,0;0,0
2001-04-01;PB;Paraiba;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3496374;99,0;2,8315048676142767;0,0;0,0;0,0
2001-04-01;PE;Pernambuco;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8187571;299,0;3,6518767287636344;0,0;0,0;0,0
2001-04-01;PI;Piaui;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2903941;111,0;3,8223917083714856;0,0;0,0;0,0
2001-04-01;PR;Parana;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9759895;194,0;1,987726302383376;0,0;0,0;0,0
2001-04-01;RJ;Rio de Janeiro;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14923119;1194,0;8,001008368290838;0,0;0,0;0,0
2001-04-01;RN;Rio Grande do Norte;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2873102;91,0;3,1673083656619223;0,0;0,0;0,0
2001-04-01;RO;Rondonia;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1423840;55,0;3,8627935723114954;0,0;0,0;0,0
2001-04-01;RR;Roraima;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;348175;14,0;4,020966468011776;0,0;0,0;0,0
2001-04-01;RS;Rio Grande do Sul;Sul;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10347971;372,0;3,594907639381672;0,0;0,0;0,0
